Contingency,Converged,BusNumber,Area,MachineID,BusName,GenStatus,Pg(MW),Qg(MVAr),PgMax(MW),PgMin(MW),QgMax(MVAr),QgMin(MVAr),Violation
LT_101-102_A1,True,101.0,1.0,1,ABEL        ,1.0,32.20000076293945,0.0,51.79999923706055,0.0,0.0,0.0,False
LT_101-102_A1,True,101.0,1.0,2,ABEL        ,1.0,25.600000381469727,0.0,53.40000534057617,0.0,0.0,0.0,False
LT_101-102_A1,True,101.0,1.0,3,ABEL        ,1.0,26.399999618530273,0.0,52.39999771118164,0.0,0.0,0.0,False
LT_101-102_A1,True,101.0,1.0,4,ABEL        ,1.0,27.799999237060547,0.0,51.599998474121094,0.0,0.0,0.0,False
LT_101-102_A1,True,101.0,1.0,5,ABEL        ,1.0,76.0,3.496656894683838,76.0,30.000001907348633,30.000001907348633,-25.0,False
LT_101-102_A1,True,101.0,1.0,6,ABEL        ,1.0,76.0,3.496656894683838,76.0,30.000001907348633,30.000001907348633,-25.0,False
LT_101-102_A1,True,102.0,1.0,1,ADAMS       ,1.0,28.0,0.0,51.20000076293945,0.0,0.0,0.0,False
LT_101-102_A1,True,102.0,1.0,2,ADAMS       ,1.0,27.399999618530273,0.0,50.599998474121094,0.0,0.0,0.0,False
LT_101-102_A1,True,102.0,1.0,3,ADAMS       ,1.0,76.0,6.925175189971924,76.0,30.000001907348633,30.000001907348633,-25.0,False
LT_101-102_A1,True,102.0,1.0,4,ADAMS       ,1.0,76.0,6.925175189971924,76.0,30.000001907348633,30.000001907348633,-25.0,False
LT_101-102_A1,True,103.0,1.0,1,ADLER       ,1.0,1.399999976158142,0.0,123.0,0.0,0.0,0.0,False
LT_101-102_A1,True,104.0,1.0,1,AGRICOLA    ,1.0,30.399999618530273,0.0,53.60000228881836,0.0,0.0,0.0,False
LT_101-102_A1,True,107.0,1.0,1,ALDER       ,1.0,355.0,41.150821685791016,355.0,170.0,150.0,-25.0,False
LT_101-102_A1,True,113.0,1.0,1,ARNE        ,1.0,160.81251525878906,-15.000000953674316,55.0,22.0,19.0,-15.000000953674316,True
LT_101-102_A1,True,113.0,1.0,2,ARNE        ,1.0,160.81251525878906,-15.000000953674316,55.0,22.0,19.0,-15.000000953674316,True
LT_101-102_A1,True,113.0,1.0,3,ARNE        ,1.0,160.81251525878906,-15.000000953674316,55.0,22.0,19.0,-15.000000953674316,True
LT_101-102_A1,True,113.0,1.0,4,ARNE        ,1.0,160.81251525878906,-15.000000953674316,55.0,22.0,19.0,-15.000000953674316,True
LT_101-102_A1,True,113.0,1.0,5,ARNE        ,1.0,326.8887939453125,-26.53415870666504,187.1999969482422,0.0,0.0,0.0,True
LT_101-102_A1,True,113.0,1.0,6,ARNE        ,1.0,0.0,-0.0,100.0,-100.0,100.0,0.0,False
