BusNumber,Area,MachineID,BusName,GenStatus,Pg(MW),Qg(MVAr),PgMax(MW),PgMin(MW),QgMax(MVAr),QgMin(MVAr)
101,1,1,ABEL        ,1,32.20000076293945,0.0,51.79999923706055,0.0,0.0,0.0
101,1,2,ABEL        ,1,25.600000381469727,0.0,53.40000534057617,0.0,0.0,0.0
101,1,3,ABEL        ,1,26.399999618530273,0.0,52.39999771118164,0.0,0.0,0.0
101,1,4,ABEL        ,1,27.799999237060547,0.0,51.599998474121094,0.0,0.0,0.0
101,1,5,ABEL        ,1,76.0,-11.34048080444336,76.0,30.000001907348633,30.000001907348633,-25.0
101,1,6,ABEL        ,1,76.0,-11.34048080444336,76.0,30.000001907348633,30.000001907348633,-25.0
102,1,1,ADAMS       ,1,28.0,0.0,51.20000076293945,0.0,0.0,0.0
102,1,2,ADAMS       ,1,27.399999618530273,0.0,50.599998474121094,0.0,0.0,0.0
102,1,3,ADAMS       ,1,76.0,0.11617151647806168,76.0,30.000001907348633,30.000001907348633,-25.0
102,1,4,ADAMS       ,1,76.0,0.11617151647806168,76.0,30.000001907348633,30.000001907348633,-25.0
103,1,1,ADLER       ,1,1.399999976158142,0.0,123.0,0.0,0.0,0.0
104,1,1,AGRICOLA    ,1,30.399999618530273,0.0,53.60000228881836,0.0,0.0,0.0
107,1,1,ALDER       ,1,355.0,37.77325439453125,355.0,170.0,150.0,-25.0
113,1,1,ARNE        ,1,160.53622436523438,-15.967494010925293,55.0,22.0,19.0,-15.000000953674316
113,1,2,ARNE        ,1,160.53622436523438,-15.967494010925293,55.0,22.0,19.0,-15.000000953674316
113,1,3,ARNE        ,1,160.53622436523438,-15.967494010925293,55.0,22.0,19.0,-15.000000953674316
113,1,4,ARNE        ,1,160.53622436523438,-15.967494010925293,55.0,22.0,19.0,-15.000000953674316
113,1,5,ARNE        ,1,326.3271789550781,-32.457645416259766,187.1999969482422,0.0,0.0,0.0
113,1,6,ARNE        ,1,0.0,-0.0,100.0,-100.0,100.0,0.0
114,1,1,ARNOLD      ,1,0.0,0.0,0.0,0.0,0.0,0.0
115,1,1,ARTHUR      ,1,155.0,64.17422485351562,155.0,62.0,80.0,-50.0
116,1,1,ASSER       ,1,155.0,42.7686653137207,155.0,62.0,80.0,-50.0
118,1,1,ASTOR       ,1,281.93798828125,-25.0,355.0,170.0,150.0,-25.0
118,1,10,ASTOR       ,1,1.6200000047683716,1.4414558410644531,1.6200000047683716,1.6200000047683716,1.6200000047683716,1.6200000047683716
118,1,11,ASTOR       ,1,1.440000057220459,1.2812939882278442,1.440000057220459,1.440000057220459,1.440000057220459,1.440000057220459
118,1,2,ASTOR       ,1,1.2300000190734863,1.0944386720657349,1.2300000190734863,1.2300000190734863,1.2300000190734863,1.2300000190734863
118,1,3,ASTOR       ,1,0.6600000262260437,0.5872597694396973,0.6600000262260437,0.6600000262260437,0.6600000262260437,0.6600000262260437
118,1,4,ASTOR       ,1,1.2300000190734863,1.0944386720657349,1.2300000190734863,1.2300000190734863,1.2300000190734863,1.2300000190734863
118,1,5,ASTOR       ,1,1.1399999856948853,1.0143578052520752,1.1399999856948853,1.1399999856948853,1.1399999856948853,1.1399999856948853
118,1,6,ASTOR       ,1,1.2300000190734863,1.0944386720657349,1.2300000190734863,1.2300000190734863,1.2300000190734863,1.2300000190734863
118,1,7,ASTOR       ,1,1.2000000476837158,1.0677450895309448,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.2000000476837158
118,1,8,ASTOR       ,1,1.2300000190734863,1.0944386720657349,1.2300000190734863,1.2300000190734863,1.2300000190734863,1.2300000190734863
118,1,9,ASTOR       ,1,1.6200000047683716,1.4414558410644531,1.6200000047683716,1.6200000047683716,1.6200000047683716,1.6200000047683716
119,1,1,ATTAR       ,1,51.79999923706055,0.0,133.1999969482422,0.0,0.0,0.0
121,1,1,ATTLEE      ,1,400.0,9.436904907226562,400.0,396.0,200.0,-50.0
122,1,1,AUBREY      ,1,33.70000076293945,0.0,713.5,0.0,0.0,0.0
123,1,1,AUSTEN      ,1,55.0,19.0,55.0,22.0,19.0,-15.000000953674316
123,1,2,AUSTEN      ,1,55.0,19.0,55.0,22.0,19.0,-15.000000953674316
123,1,3,AUSTEN      ,1,55.0,19.0,55.0,22.0,19.0,-15.000000953674316
123,1,4,AUSTEN      ,1,155.0,56.619834899902344,155.0,62.0,80.0,-50.0
123,1,5,AUSTEN      ,1,350.0,127.85124969482422,350.0,140.0,150.0,-25.0
201,2,1,BACH        ,1,44.09700012207031,-3.1244139671325684,50.0,0.0,16.0,-10.0
201,2,2,BACH        ,1,76.0,-5.384843826293945,76.0,30.000001907348633,30.000001907348633,-25.0
202,2,1,BACON       ,1,76.0,-4.521117210388184,76.0,30.000001907348633,30.000001907348633,-25.0
202,2,2,BACON       ,1,76.0,-4.521117210388184,76.0,30.000001907348633,30.000001907348633,-25.0
207,2,1,BAKER       ,1,55.0,28.663084030151367,55.0,22.0,19.0,-15.000000953674316
